# ##time, x, y, yaw, vel, speed_cmd, steer_cmd, s, lap
4.700000000000000000e+01,2.371766806187233012e+00,-5.097614018481492343e-02,1.548180780392071666e-02,1.997730428003556380e+00,2.000000000000000000e+00,3.792674839496612549e-02,2.509901951359278627e+00,0.000000000000000000e+00
4.800000000000000000e+01,2.431669912211469331e+00,-4.897757966932336782e-02,2.391064788326992263e-02,1.998039031928178888e+00,2.000000000000000000e+00,2.811759524047374725e-02,2.509901951359278627e+00,0.000000000000000000e+00
4.900000000000000000e+01,2.491563640166948979e+00,-4.649577062658358240e-02,3.193774029751286075e-02,1.998305673587474685e+00,2.000000000000000000e+00,1.750702783465385437e-02,2.509901951359278627e+00,0.000000000000000000e+00
5.000000000000000000e+01,2.551462528636565530e+00,-4.395642966910133509e-02,3.624277780930645898e-02,1.998536058779623703e+00,2.000000000000000000e+00,9.513044729828834534e-03,2.509901951359278627e+00,0.000000000000000000e+00
5.100000000000000000e+01,2.611363913703617978e+00,-4.132599897113362758e-02,3.946647330272189808e-02,1.998735117459732757e+00,2.000000000000000000e+00,3.772744443267583847e-03,2.509901951359278627e+00,0.000000000000000000e+00
5.200000000000000000e+01,2.671265392254201565e+00,-3.857395476147814500e-02,4.226480468447776223e-02,1.998907109234712598e+00,2.000000000000000000e+00,-1.848191372118890285e-03,2.759901951359278627e+00,0.000000000000000000e+00
5.300000000000000000e+01,2.731163691164771645e+00,-3.565330701133198610e-02,4.518050147365861718e-02,1.999055714513540360e+00,2.000000000000000000e+00,-7.346262224018573761e-03,2.759901951359278627e+00,0.000000000000000000e+00
5.400000000000000000e+01,2.791072854716927232e+00,-3.287567357280762881e-02,4.517633285522380804e-02,1.999184113263411167e+00,2.000000000000000000e+00,-1.153714768588542938e-02,2.759901951359278627e+00,0.000000000000000000e+00
5.500000000000000000e+01,2.850999599607199730e+00,-3.041673194036730379e-02,4.283526022484145102e-02,1.999295053057061011e+00,2.000000000000000000e+00,-1.229527313262224197e-02,2.759901951359278627e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.910937469228358498e+00,-2.816148944659404782e-02,4.023217532405811564e-02,1.999390907867387490e+00,2.000000000000000000e+00,-3.133571520447731018e-02,3.009901951359278627e+00,0.000000000000000000e+00
5.700000000000000000e+01,2.970885251927983806e+00,-2.610741067430831508e-02,3.736516663442489977e-02,1.999473728867503741e+00,2.000000000000000000e+00,-1.907820813357830048e-02,3.009901951359278627e+00,0.000000000000000000e+00
5.800000000000000000e+01,3.030840712442590679e+00,-2.421632026939059268e-02,3.464847479757032778e-02,1.999545288323277159e+00,2.000000000000000000e+00,-6.442935205996036530e-03,3.009901951359278627e+00,0.000000000000000000e+00
5.900000000000000000e+01,3.090803734029767824e+00,-2.251066851715582615e-02,3.175389181347793716e-02,1.999607117517604671e+00,2.000000000000000000e+00,6.173647940158843994e-03,3.009901951359278627e+00,0.000000000000000000e+00
6.000000000000000000e+01,3.150772072557183723e+00,-2.093616285469694638e-02,2.932168985377718931e-02,1.999660539517952307e+00,2.000000000000000000e+00,4.079959169030189514e-02,3.264852927038917940e+00,0.000000000000000000e+00
6.100000000000000000e+01,3.210732790614710286e+00,-1.905039463611066242e-02,3.092189226282935147e-02,1.999706697488344398e+00,2.000000000000000000e+00,3.909232839941978455e-02,3.264852927038917940e+00,0.000000000000000000e+00
6.200000000000000000e+01,3.270667751632160059e+00,-1.644753521605186314e-02,3.752249129300708197e-02,1.999746579151644887e+00,2.000000000000000000e+00,3.182285279035568237e-02,3.264852927038917940e+00,0.000000000000000000e+00
6.300000000000000000e+01,3.330575217310716152e+00,-1.324970469056096709e-02,4.517434743521570040e-02,1.999781037925592697e+00,2.000000000000000000e+00,2.115296572446823120e-02,3.264852927038917940e+00,0.000000000000000000e+00
6.400000000000000000e+01,3.390478422299178174e+00,-9.952559763996119552e-03,4.939660463455419759e-02,1.999810811184873138e+00,2.000000000000000000e+00,-1.102715730667114258e-02,3.514852927038917940e+00,0.000000000000000000e+00
6.500000000000000000e+01,3.450376405005070701e+00,-6.547377745139216013e-03,5.259994577397580917e-02,1.999836536040015211e+00,2.000000000000000000e+00,-5.810714792460203171e-03,3.514852927038917940e+00,0.000000000000000000e+00
6.600000000000000000e+01,3.510284080183858180e+00,-3.305802045313117887e-03,5.265729089364271781e-02,1.999858762970760040e+00,2.000000000000000000e+00,1.107994583435356617e-03,3.514852927038917940e+00,0.000000000000000000e+00
6.700000000000000000e+01,3.570209227574284494e+00,-3.908065187993731973e-04,5.033002529439528638e-02,1.999877967605640183e+00,2.000000000000000000e+00,1.153727900236845016e-02,3.514852927038917940e+00,0.000000000000000000e+00
6.800000000000000000e+01,3.630130646201688904e+00,2.609648194883197690e-03,5.046579455858777458e-02,1.999894560899833751e+00,2.000000000000000000e+00,2.148656547069549561e-02,3.764852927038917940e+00,0.000000000000000000e+00
6.900000000000000000e+01,3.690037044007448142e+00,5.905806273161992581e-03,5.284129076746652692e-02,1.999908897929093543e+00,2.000000000000000000e+00,4.257209226489067078e-02,3.764852927038917940e+00,0.000000000000000000e+00
7.000000000000000000e+01,3.749932860606677298e+00,9.396028793408877505e-03,5.545544790396776669e-02,1.999921285487922917e+00,2.000000000000000000e+00,3.653402626514434814e-02,3.764852927038917940e+00,0.000000000000000000e+00
7.100000000000000000e+01,3.809798161894108137e+00,1.337542480303071518e-02,6.106265707241578800e-02,1.999931988654594539e+00,2.000000000000000000e+00,2.872532606124877930e-02,3.764852927038917940e+00,0.000000000000000000e+00
7.200000000000000000e+01,3.869616475385924570e+00,1.801351542443632367e-02,6.902360044847660747e-02,1.999941236463495864e+00,2.000000000000000000e+00,1.712064445018768311e-02,4.014852927038917940e+00,0.000000000000000000e+00
7.300000000000000000e+01,3.929415413315763050e+00,2.290111727858504254e-02,7.451478314618356635e-02,1.999949226806176483e+00,2.000000000000000000e+00,5.665492732077836990e-03,4.014852927038917940e+00,0.000000000000000000e+00
7.400000000000000000e+01,3.989211240647890566e+00,2.782927859421167882e-02,7.776455342257949932e-02,1.999956130665980991e+00,2.000000000000000000e+00,-2.871372969821095467e-03,4.014852927038917940e+00,0.000000000000000000e+00
7.500000000000000000e+01,4.048995353397561558e+00,3.289976717669927664e-02,8.077520661543724501e-02,1.999962095776878446e+00,2.000000000000000000e+00,-1.064755674451589584e-02,4.014852927038917940e+00,0.000000000000000000e+00
7.600000000000000000e+01,4.108792254944368949e+00,3.781799322787334633e-02,8.079263475732015309e-02,1.999967249784785572e+00,2.000000000000000000e+00,-1.698144339025020599e-02,4.014852927038917940e+00,0.000000000000000000e+00
7.700000000000000000e+01,4.168614977701942337e+00,4.241427874986711255e-02,7.845624530502932903e-02,1.999971702979028043e+00,2.000000000000000000e+00,-1.984961889684200287e-02,4.269803902718557254e+00,0.000000000000000000e+00
7.800000000000000000e+01,4.228453240770630117e+00,4.680551151961586526e-02,7.585382568705328898e-02,1.999975550652395739e+00,2.000000000000000000e+00,-2.157146111130714417e-02,4.269803902718557254e+00,0.000000000000000000e+00
7.900000000000000000e+01,4.288306072603660368e+00,5.099509743957476859e-02,7.298645760866008525e-02,1.999978875140289158e+00,2.000000000000000000e+00,-2.313102595508098602e-02,4.269803902718557254e+00,0.000000000000000000e+00
8.000000000000000000e+01,4.348170196578777791e+00,5.502152501135917917e-02,7.026918755377412062e-02,1.999981747582592950e+00,2.000000000000000000e+00,-2.429783158004283905e-02,4.269803902718557254e+00,0.000000000000000000e+00
8.100000000000000000e+01,4.408046583217801739e+00,5.886255077662184282e-02,6.737399096330844162e-02,1.999984229445981532e+00,2.000000000000000000e+00,-2.546697482466697693e-02,4.519803902718557254e+00,0.000000000000000000e+00
8.200000000000000000e+01,4.467932871568019770e+00,6.254711125416689832e-02,6.464882178509435973e-02,1.999986373839228948e+00,2.000000000000000000e+00,-2.628398872911930084e-02,4.519803902718557254e+00,0.000000000000000000e+00
8.300000000000000000e+01,4.527830174382287964e+00,6.604908495101749488e-02,6.175098209234658464e-02,1.999988226649670020e+00,2.000000000000000000e+00,-2.711519785225391388e-02,4.519803902718557254e+00,0.000000000000000000e+00
8.400000000000000000e+01,4.587736405448759491e+00,6.939578643353537524e-02,5.902480910188540042e-02,1.999989827525131547e+00,2.000000000000000000e+00,-2.759842574596405029e-02,4.519803902718557254e+00,0.000000000000000000e+00
8.500000000000000000e+01,4.647652576924172330e+00,7.256038420871559202e-02,5.612655701640134609e-02,1.999991210722347867e+00,2.000000000000000000e+00,-2.809751778841018677e-02,4.774754878398196567e+00,0.000000000000000000e+00
8.600000000000000000e+01,4.707576777023640524e+00,7.556989822336117324e-02,5.340020691053855295e-02,1.999992405840009591e+00,2.000000000000000000e+00,-2.824938483536243439e-02,4.774754878398196567e+00,0.000000000000000000e+00
8.700000000000000000e+01,4.767509876326792018e+00,7.839735826129716478e-02,5.050187628625067010e-02,1.999993438452141170e+00,2.000000000000000000e+00,-2.841748669743537903e-02,4.774754878398196567e+00,0.000000000000000000e+00
8.800000000000000000e+01,4.827450119828500696e+00,8.106973635786314525e-02,4.777549030303505223e-02,1.999994330655351371e+00,2.000000000000000000e+00,-2.823856286704540253e-02,4.774754878398196567e+00,0.000000000000000000e+00
8.900000000000000000e+01,4.887398229025801122e+00,8.356003239772494262e-02,4.487714245119937828e-02,1.999995101541673259e+00,2.000000000000000000e+00,-5.208810791373252869e-02,5.024754878398196567e+00,0.000000000000000000e+00
9.000000000000000000e+01,4.947352602351656969e+00,8.589521680945295945e-02,4.215074766234369608e-02,1.999995767607110508e+00,2.000000000000000000e+00,-3.983619436621665955e-02,5.024754878398196567e+00,0.000000000000000000e+00
9.100000000000000000e+01,5.007323257051227827e+00,8.775561964925401859e-02,3.651655461958571575e-02,1.999996343104631036e+00,2.000000000000000000e+00,-2.598504349589347839e-02,5.024754878398196567e+00,0.000000000000000000e+00
9.200000000000000000e+01,5.067310780526198322e+00,8.896205799800620262e-02,2.854787004836755251e-02,1.999996840349161920e+00,2.000000000000000000e+00,-8.389494381844997406e-03,5.024754878398196567e+00,0.000000000000000000e+00
9.300000000000000000e+01,5.127303017623957793e+00,8.992089957225611607e-02,2.305402382102847772e-02,1.999997269981114600e+00,2.000000000000000000e+00,9.027227759361267090e-03,5.274754878398196567e+00,0.000000000000000000e+00
9.400000000000000000e+01,5.187295479281831767e+00,9.086558750619205815e-02,2.009566257346023788e-02,1.999997641194076081e+00,2.000000000000000000e+00,3.795960918068885803e-02,5.274754878398196567e+00,0.000000000000000000e+00
9.500000000000000000e+01,5.247281230288762366e+00,9.216210241520896018e-02,2.158269367908040304e-02,1.999997961931539558e+00,2.000000000000000000e+00,3.702414035797119141e-02,5.274754878398196567e+00,0.000000000000000000e+00
9.600000000000000000e+01,5.307246469736629280e+00,9.419163239627909023e-02,2.815688305798769164e-02,1.999998239056885785e+00,2.000000000000000000e+00,3.036371245980262756e-02,5.274754878398196567e+00,0.000000000000000000e+00
9.700000000000000000e+01,5.367188522780129034e+00,9.682288903258202961e-02,3.580214572044840282e-02,1.999998478500250698e+00,2.000000000000000000e+00,2.026313170790672302e-02,5.524754878398196567e+00,0.000000000000000000e+00
9.800000000000000000e+01,5.427126173538261433e+00,9.955629647030991847e-02,4.002252995159737148e-02,1.999998685385423247e+00,2.000000000000000000e+00,1.222394406795501709e-02,5.524754878398196567e+00,0.000000000000000000e+00
